Rank,Link,Year,Title,Directed by,Produced by,Starring,Music by,Edited by,Distributed by,Release date,Running Time(int),Language,Budget,Box office,Gross
11,https://en.wikipedia.org/wiki/Avengers:_Age_of_Ultron,2015,Avengers: Age of Ultron,Joss Whedon,Kevin Feige,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Stellan Skarsgård', 'James Spader', 'Samuel L. Jackson']","['Brian Tyler', 'Danny Elfman']","['Jeffrey Ford', 'Lisa Lassek']",Walt Disney Studios Motion Pictures,"['April 13, 2015 ( 2015-04-13 ) ( Dolby Theatre )', 'May 1, 2015 ( 2015-05-01 ) (United States)']",141,English,"['$444–495.2 million (gross) [2] [3]', '$365 million (net) [2]']",$1.403 billion,1402805868
12,https://en.wikipedia.org/wiki/Black_Panther_(film),2018,Black Panther,Ryan Coogler,Kevin Feige,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']",Ludwig Göransson,"['Michael P. Shawver', 'Debbie Berman']",Walt Disney Studios Motion Pictures,"['January 29, 2018 ( 2018-01-29 ) ( Dolby Theatre )', 'February 16, 2018 ( 2018-02-16 ) (United States)']",134,English,$200 million,$1.347 billion,1347280838
13,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows_%E2%80%93_Part_2,2011,Harry Potter and the Deathly Hallows – Part 2,David Yates,"['David Heyman', 'David Barron', 'J. K. Rowling']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'John Hurt', 'Jason Isaacs', 'Gary Oldman', 'Alan Rickman', 'Maggie Smith', 'David Thewlis', 'Julie Walters']",Alexandre Desplat,Mark Day,Warner Bros. Pictures,"['7 July 2011 ( 2011-07-07 ) ( Trafalgar Square )', '15 July 2011 ( 2011-07-15 ) (United Kingdom and United States)']",130,English,$250 million (shared with Part 1 ),$1.342 billion,1342025430
14,https://en.wikipedia.org/wiki/Star_Wars:_The_Last_Jedi,2017,Star Wars: The Last Jedi,Rian Johnson,"['Kathleen Kennedy', 'Ram Bergman']","['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels', 'Gwendoline Christie', 'Kelly Marie Tran', 'Laura Dern', 'Benicio del Toro']",John Williams,Bob Ducsay,Walt Disney Studios Motion Pictures,"['December 9, 2017 ( 2017-12-09 ) ( Shrine Auditorium )', 'December 15, 2017 ( 2017-12-15 ) (United States)']",152,English,$200–317 million,$1.333 billion,1332539889
15,https://en.wikipedia.org/wiki/Jurassic_World:_Fallen_Kingdom,2018,Jurassic World: Fallen Kingdom,J. A. Bayona,"['Frank Marshall', 'Patrick Crowley', 'Belén Atienza']","['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Toby Jones', 'Ted Levine', 'BD Wong', 'Jeff Goldblum']",Michael Giacchino,Bernat Vilaplana,Universal Pictures,"['May 21, 2018 ( 2018-05-21 ) ( WiZink Center )', 'June 22, 2018 ( 2018-06-22 ) (United States)']",128,English,$170 million,$1.310 billion,1309484461
17,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2017_film),2017,Beauty and the Beast,Bill Condon,"['David Hoberman', 'Todd Lieberman']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad', 'Ewan McGregor', 'Stanley Tucci', 'Audra McDonald', 'Gugu Mbatha-Raw', 'Ian McKellen', 'Emma Thompson']",Alan Menken,Virginia Katz,Walt Disney Studios Motion Pictures,"['February 23, 2017 ( 2017-02-23 ) ( Spencer House )', 'March 17, 2017 ( 2017-03-17 ) (United States)']",129,English,$160–255 million,$1.264 billion,1263521126
18,https://en.wikipedia.org/wiki/Incredibles_2,2018,Incredibles 2,Brad Bird,"['John Walker', 'Nicole Paradis Grindle']","['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huckleberry Milner', 'Samuel L. Jackson', 'Bob Odenkirk', 'Catherine Keener', 'Jonathan Banks']",Michael Giacchino,Stephen Schaffer,Walt Disney Studios Motion Pictures,"['June 5, 2018 ( 2018-06-05 ) ( Los Angeles )', 'June 15, 2018 ( 2018-06-15 ) (United States)']",118,English,$200 million,$1.243 billion,1242805359
20,https://en.wikipedia.org/wiki/Iron_Man_3,2013,Iron Man 3,Shane Black,Kevin Feige,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'Jon Favreau', 'Ben Kingsley']",Brian Tyler,"['Jeffrey Ford', 'Peter S. Elliot']",Walt Disney Studios Motion Pictures,"['April 14, 2013 ( 2013-04-14 ) ( Grand Rex )', 'May 3, 2013 ( 2013-05-03 ) (United States)']",131,English,$200 million,$1.215 billion,1214811252
21,https://en.wikipedia.org/wiki/Minions_(film),2015,Minions,"['Pierre Coffin', 'Kyle Balda']","['Chris Meledandri', 'Janet Healy']","['Pierre Coffin', 'Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Allison Janney', 'Steve Coogan', 'Jennifer Saunders']",Heitor Pereira,Claire Dodgson,Universal Pictures,"['June 11, 2015 ( 2015-06-11 ) ( Odeon Leicester Square )', 'July 10, 2015 ( 2015-07-10 ) (United States)']",91,English,$74 million,$1.159 billion,1159398397
22,https://en.wikipedia.org/wiki/Captain_America:_Civil_War,2016,Captain America: Civil War,"['Anthony Russo Joe Russo', 'Anthony Russo', 'Joe Russo']",Kevin Feige,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Frank Grillo', 'William Hurt', 'Daniel Brühl']",Henry Jackman,"['Jeffrey Ford', 'Matthew Schmidt']",Walt Disney Studios Motion Pictures,"['April 12, 2016 ( 2016-04-12 ) ( Dolby Theatre )', 'May 6, 2016 ( 2016-05-06 ) (United States)']",147,English,$250 million,$1.153 billion,1153329473
