title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Production companies,Languages,Countries,Story by,Written by,Created by,Original work,Owned by,Narration by,Narrated by,Color process,Years,Suggested by
The Shawshank Redemption,Frank Darabont,Niki Marvin,Frank Darabont,Rita Hayworth and Shawshank Redemption by Stephen King,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'James Whitmore']",Thomas Newman,Roger Deakins,Richard Francis-Bruce,Castle Rock Entertainment,Columbia Pictures,"['September 10, 1994 ( 1994-09-10 ) ( TIFF )', 'September 23, 1994 ( 1994-09-23 ) (United States)']",142 minutes,United States,English,$25 million,$58.3 million,,,,,,,,,,,,,
The Godfather,Francis Ford Coppola,Albert S. Ruddy,"['Mario Puzo', 'Francis Ford Coppola']",The Godfather by Mario Puzo,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Diane Keaton']",Nino Rota,Gordon Willis,"['William Reynolds', 'Peter Zinner']",Castle Rock Entertainment,Paramount Pictures,"[""March 14, 1972 ( 1972-03-14 ) ( Loew's State Theatre )"", 'March 24, 1972 ( 1972-03-24 ) (United States)']",177 minutes,United States,English,$6–7.2 million,$246–287 million,"['Paramount Pictures', 'Alfran Productions']",,,,,,,,,,,,
The Godfather Part II,Francis Ford Coppola,Francis Ford Coppola,"['Francis Ford Coppola', 'Mario Puzo']",The Godfather by Mario Puzo,"['Al Pacino', 'Robert Duvall', 'Diane Keaton', 'Robert De Niro', 'Talia Shire', 'Morgana King', 'John Cazale', 'Mariana Hill', 'Lee Strasberg']",Nino Rota,Gordon Willis,"['Peter Zinner', 'Barry Malkin', 'Richard Marks']",Castle Rock Entertainment,Paramount Pictures,"['December 12, 1974 ( 1974-12-12 ) (New York City)', 'December 20, 1974 ( 1974-12-20 ) (United States)']",200 minutes,United States,English,$13 million,$48–88 million,"['Paramount Pictures', 'The Coppola Company']","['English', 'Sicilian']",,,,,,,,,,,
Schindler's List,Steven Spielberg,"['Steven Spielberg', 'Gerald R. Molen', 'Branko Lustig']",Steven Zaillian,Schindler's Ark by Thomas Keneally,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz']",John Williams,Janusz Kamiński,Michael Kahn,Amblin Entertainment,Universal Pictures,"['November 30, 1993 ( 1993-11-30 ) ( Washington, D.C. )', 'December 15, 1993 ( 1993-12-15 ) (United States)']",195 minutes,United States,English,$22 million,$321.3 million,"['Paramount Pictures', 'The Coppola Company']","['English', 'Sicilian']",,,,,,,,,,,
The Lord of the Rings:The Return of the King,Peter Jackson,"['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Return of the King by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Karl Urban', 'John Noble', 'Andy Serkis', 'Ian Holm', 'Sean Bean']",Howard Shore,Andrew Lesnie,Jamie Selkirk,Amblin Entertainment,New Line Cinema,"['1 December 2003 ( 2003-12-01 ) ( Embassy Theatre )', '17 December 2003 ( 2003-12-17 ) (United States)', '18 December 2003 ( 2003-12-18 ) (New Zealand)']",201 minutes,United States,English,$94 million,$1.142 billion,"['New Line Cinema [1]', 'WingNut Films [1]']","['English', 'Sicilian']","['Germany [3]', 'New Zealand [1]', 'United States [1]']",,,,,,,,,,
Pulp Fiction,Quentin Tarantino,Lawrence Bender,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Return of the King by J. R. R. Tolkien,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Harvey Keitel', 'Tim Roth', 'Amanda Plummer', 'Maria de Medeiros', 'Ving Rhames', 'Eric Stoltz', 'Rosanna Arquette', 'Christopher Walken', 'Bruce Willis']",Howard Shore,Andrzej Sekuła,Sally Menke,Amblin Entertainment,Miramax Films,"['May 21, 1994 ( 1994-05-21 ) ( Cannes )', 'October 14, 1994 ( 1994-10-14 ) (United States)']",154 minutes,United States,English,$8–8.5 million,$213.9 million,"['A Band Apart', 'Jersey Films']","['English', 'Sicilian']","['Germany [3]', 'New Zealand [1]', 'United States [1]']","['Quentin Tarantino', 'Roger Avary']",Quentin Tarantino,,,,,,,,
"The Good, the Bad and the Ugly",Sergio Leone,Alberto Grimaldi,"['Age & Scarpelli', 'Luciano Vincenzoni', 'Sergio Leone']",The Return of the King by J. R. R. Tolkien,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè', 'Antonio Casas', 'Rada Rassimov', 'Aldo Sambrel', 'Enzo Petito', 'Luigi Pistilli', 'Livio Lorenzon', 'Al Mulloch', 'Sergio Mendizábal', 'Molino Rojo', 'Lorenzo Robledo', 'Mario Brega']",Ennio Morricone,Tonino Delli Colli,"['Nino Baragli', 'Eugenio Alabiso']",Amblin Entertainment,"['Produzioni Europee Associate (Italy)', 'United Artists (US)']",['23 December 1966 ( 1966-12-23 )'],177 minutes,Italy,English,$1.2 million,$25.1 million,"['Produzioni Europee Associate [2] [3] [4]', 'United Artists [4]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['Germany [3]', 'New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
The Lord of the Rings:The Fellowship of the Ring,Peter Jackson,"['Barrie M. Osborne', 'Peter Jackson', 'Fran Walsh', 'Tim Sanders']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",The Fellowship of the Ring by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Christopher Lee', 'Hugo Weaving', 'Sean Bean', 'Ian Holm', 'Andy Serkis']",Howard Shore,Andrew Lesnie,John Gilbert,Amblin Entertainment,New Line Cinema,"['10 December 2001 ( 2001-12-10 ) ( Odeon Leicester Square )', '19 December 2001 ( 2001-12-19 ) (United States)', '20 December 2001 ( 2001-12-20 ) (New Zealand)']",178 minutes,Italy,English,$93 million,$888.3 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
Forrest Gump,Robert Zemeckis,"['Wendy Finerman', 'Steve Tisch', 'Steve Starkey']",Eric Roth,Forrest Gump by Winston Groom,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field']",Alan Silvestri,Don Burgess,Arthur Schmidt,The Tisch Company,Paramount Pictures,"['June 23, 1994 ( 1994-06-23 ) ( Los Angeles )', 'July 6, 1994 ( 1994-07-06 ) (United States)']",142 minutes,United States,English,$55 million,$683.1 million,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency [1]', 'Linson Films']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Quentin Tarantino,,,,,,,,
Inception,Christopher Nolan,"['Emma Thomas', 'Christopher Nolan']",Eric Roth,Forrest Gump by Winston Groom,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Elliot Page [a]', 'Tom Hardy', 'Cillian Murphy', 'Tom Berenger', 'Michael Caine']",Hans Zimmer,Wally Pfister,Lee Smith,The Tisch Company,Warner Bros. Pictures,"['July 8, 2010 ( 2010-07-08 ) ( Odeon Leicester Square )', 'July 16, 2010 ( 2010-07-16 ) (United States and United Kingdom)']",148 minutes,United States,English,$160 million,$836.8 million,"['Legendary Pictures', 'Syncopy']","['English [8]', 'Italian [8]', 'Spanish [8]']","['United States [2]', 'United Kingdom [2]']","['Luciano Vincenzoni', 'Sergio Leone']",Christopher Nolan,,,,,,,,
The Lord of the Rings:The Two Towers,Peter Jackson,"['Barrie M. Osborne', 'Fran Walsh', 'Peter Jackson']","['Fran Walsh', 'Philippa Boyens', 'Stephen Sinclair', 'Peter Jackson']",The Two Towers by J. R. R. Tolkien,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler', 'Viggo Mortensen', 'Sean Astin', 'Cate Blanchett', 'John Rhys-Davies', 'Bernard Hill', 'Christopher Lee', 'Billy Boyd', 'Dominic Monaghan', 'Orlando Bloom', 'Hugo Weaving', 'Miranda Otto', 'David Wenham', 'Brad Dourif', 'Karl Urban', 'Andy Serkis']",Howard Shore,Andrew Lesnie,['Michael Horton'],The Tisch Company,New Line Cinema,"['5 December 2002 ( 2002-12-05 ) ( Ziegfeld Theatre )', '18 December 2002 ( 2002-12-18 ) (United States)', '19 December 2002 ( 2002-12-19 ) (New Zealand)']",179 minutes,United States,English,$94 million,$951.2 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']","['Luciano Vincenzoni', 'Sergio Leone']",Christopher Nolan,,,,,,,,
The Empire Strikes Back,Irvin Kershner,Gary Kurtz,"['Leigh Brackett', 'Lawrence Kasdan']",The Two Towers by J. R. R. Tolkien,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Kenny Baker', 'Peter Mayhew', 'Frank Oz']",John Williams,Peter Suschitzky,Paul Hirsch,Lucasfilm Ltd.,20th Century Fox,"['May 17, 1980 ( 1980-05-17 ) ( Kennedy Center )', 'May 21, 1980 ( 1980-05-21 ) (United States)']",124 minutes,United States,English,$33 million,$550.9 million,"['New Line Cinema [1]', 'WingNut Films [1]']","['English [8]', 'Italian [8]', 'Spanish [8]']","['New Zealand [1]', 'United States [1]']",George Lucas,Christopher Nolan,,,,,,,,
The Matrix,The Wachowskis,Joel Silver,"['Leigh Brackett', 'Lawrence Kasdan']",The Two Towers by J. R. R. Tolkien,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Joe Pantoliano']",Don Davis,Bill Pope,Zach Staenberg,Lucasfilm Ltd.,['Warner Bros. (United States)'],"['March 31, 1999 ( 1999-03-31 ) (United States)']",136 minutes,United States,English,$63 million,$465.3 million,"['Warner Bros.', 'Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures']","['English [8]', 'Italian [8]', 'Spanish [8]']",['United States [2]'],George Lucas,The Wachowskis,,,,,,,,
Goodfellas,Martin Scorsese,Irwin Winkler,"['Nicholas Pileggi', 'Martin Scorsese']",Wiseguy by Nicholas Pileggi,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino']",Don Davis,Michael Ballhaus,Thelma Schoonmaker,Lucasfilm Ltd.,Warner Bros.,"['September 9, 1990 ( 1990-09-09 ) ( Venice )', 'September 19, 1990 ( 1990-09-19 ) (United States)']",146 minutes,United States,English,$25 million,$47.1 million,"['Warner Bros.', 'Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures']","['English [8]', 'Italian [8]', 'Spanish [8]']",['United States [2]'],George Lucas,The Wachowskis,,,,,,,,
Seven Samurai,Akira Kurosawa,Sōjirō Motoki,"['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']",Wiseguy by Nicholas Pileggi,"['Toshiro Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Isao Kimura', 'Daisuke Katō', 'Seiji Miyaguchi', 'Yoshio Inaba', 'Minoru Chiaki', 'Kamatari Fujiwara', 'Kokuten Kōdō', 'Yoshio Tsuchiya', 'Eijirō Tōno', 'Jun Tatara', 'Atsushi Watanabe', 'Yoshio Kosugi', 'Bokuzen Hidari', 'Yukiko Shimazaki']",Fumio Hayasaka,Asakazu Nakai,Akira Kurosawa,Toho,Toho,['26 April 1954 ( 1954-04-26 )'],207 minutes (with intermission),Japan,Japanese,¥ 125 million  ( $ 1.1 million ),"Japan rentals : ¥268.2 million   ( $2.3 million ) USA: $833,533","['Warner Bros.', 'Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures']","['English [8]', 'Italian [8]', 'Spanish [8]']",['United States [2]'],George Lucas,The Wachowskis,,,,,,,,
It's a Wonderful Life,Frank Capra,Frank Capra,"['Frances Goodrich', 'Albert Hackett', 'Frank Capra']",The Greatest Gift by Philip Van Doren Stern,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Ward Bond', 'Frank Faylen', 'Gloria Grahame']",Dimitri Tiomkin,"['Joseph Walker', 'Joseph Biroc']",William Hornbeck,Liberty Films,"RKO Radio Pictures (original) Paramount Pictures (current holder, under Melange Pictures, LLC. )","['December 20, 1946 ( 1946-12-20 )']",131 minutes,United States,English,$3.18 million,$3.3 million,"['Warner Bros.', 'Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures']",Italian German,['United States [2]'],George Lucas,Roberto Benigni Vincenzo Cerami,,,,,,,,
Saving Private Ryan,Steven Spielberg,"['Ian Bryce', 'Mark Gordon', 'Gary Levinsohn', 'Steven Spielberg']","['Frances Goodrich', 'Albert Hackett', 'Frank Capra']",The Greatest Gift by Philip Van Doren Stern,"['Tom Hanks', 'Edward Burns', 'Matt Damon', 'Tom Sizemore']",John Williams,Janusz Kamiński,Michael Kahn,Liberty Films,"['DreamWorks Pictures (North America)', 'Paramount Pictures (International)']","['July 24, 1998 ( 1998-07-24 )']",169 minutes,United States,English,$70 million,$482.3 million,"['DreamWorks Pictures', 'Paramount Pictures', 'Amblin Entertainment', 'Mutual Film Company']","['English', 'German']",['United States [2]'],George Lucas,Robert Rodat,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
The Usual Suspects,Bryan Singer,"['Bryan Singer', 'Michael McDonnell']","['Frances Goodrich', 'Albert Hackett', 'Frank Capra']",The Greatest Gift by Philip Van Doren Stern,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite', 'Kevin Spacey', 'Suzy Amis', 'Benicio del Toro', 'Giancarlo Esposito']",John Ottman,Newton Thomas Sigel,John Ottman,Liberty Films,"['Gramercy Pictures (US/Canada/UK/France)', 'Spelling Films International (international)']","['January 25, 1995 ( 1995-01-25 ) ( Sundance )', 'August 16, 1995 ( 1995-08-16 ) (United States)']",106 minutes,United States,English,$6 million,$34.4 million,"['PolyGram Filmed Entertainment', 'Bad Hat Harry Productions', 'Blue Parrot', 'Spelling Films International']","['English', 'German']","['United States [2]', 'Germany [2]']",George Lucas,Christopher McQuarrie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
The Lion King,"['Roger Allers', 'Rob Minkoff']",Don Hahn,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']",The Greatest Gift by Philip Van Doren Stern,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Niketa Calame', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']",Hans Zimmer,Newton Thomas Sigel,Ivan Bilancio,Liberty Films,Buena Vista Pictures,"['June 15, 1994 ( 1994-06-15 ) (United States)']",88 minutes,United States,English,$45 million,$968.5 million,"['Walt Disney Pictures', 'Walt Disney Feature Animation']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",Christopher McQuarrie,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
Back to the Future,Robert Zemeckis,"['Bob Gale', 'Neil Canton']","['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']",The Greatest Gift by Philip Van Doren Stern,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']",Alan Silvestri,Dean Cundey,"['Arthur Schmidt', 'Harry Keramidas']",Liberty Films,Universal Pictures,"['July 3, 1985 ( 1985-07-03 )']",116 minutes,United States,English,$19 million,$388.8 million,"['Universal Pictures', 'Amblin Entertainment']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']","['Robert Zemeckis', 'Bob Gale']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
Terminator 2: Judgment Day,James Cameron,James Cameron,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']",The Greatest Gift by Philip Van Doren Stern,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Robert Patrick']",Brad Fiedel,Adam Greenberg,"['Conrad Buff', 'Mark Goldblatt', 'Richard A. Harris']",Liberty Films,TriStar Pictures,"['July 1, 1991 ( 1991-07-01 ) (Los Angeles)', 'July 3, 1991 ( 1991-07-03 ) (United States)']",137 minutes,United States,English,$94–102 million,$520.9 million,"['Carolco Pictures', 'Pacific Western Productions', 'Lightstorm Entertainment', 'Le Studio Canal+ S.A.']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']","['James Cameron', 'William Wisher']",George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
American History X,Tony Kaye,John Morrissey,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']",The Greatest Gift by Philip Van Doren Stern,"['Edward Norton', 'Edward Furlong', 'Fairuza Balk', 'Stacy Keach', 'Elliott Gould', 'Avery Brooks', ""Beverly D'Angelo""]",Anne Dudley,Tony Kaye,"['Jerry Greenberg', 'Alan Heim']",Liberty Films,New Line Cinema,"['October 30, 1998 ( 1998-10-30 )']",119 minutes,United States,English,$20 million,$23.9 million,"['New Line Cinema', 'The Turman -Morrissey Company']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",David McKenna,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
The Departed,Martin Scorsese,"['Brad Pitt', 'Brad Grey', 'Graham King']",William Monahan,Infernal Affairs by Alan Mak Felix Chong,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Alec Baldwin']",Howard Shore,Michael Ballhaus,Thelma Schoonmaker,Liberty Films,Warner Bros. Pictures,"['September 26, 2006 ( 2006-09-26 ) ( Ziegfeld Theatre )', 'October 6, 2006 ( 2006-10-06 ) (United States)']",151 minutes,United States,English,$90 million,$291.5 million,"['Plan B Entertainment', 'Initial Entertainment Group', 'Vertigo Entertainment', 'Media Asia Films']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",David McKenna,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
City Lights,Charlie Chaplin,Charlie Chaplin,William Monahan,Infernal Affairs by Alan Mak Felix Chong,"['Charlie Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia']","['Charlie Chaplin', ""Flower Girl's theme by José Padilla [1]"", 'Orchestrated by Arthur Johnston and Alfred Newman']",Roland Totheroh Gordon Pollock,"['Charlie Chaplin', 'Willard Nico']",Liberty Films,United Artists,"['January 30, 1931 ( 1931-01-30 )']",87 minutes,United States,English,$1.5 million,$4.25 million (worldwide rentals),"['Plan B Entertainment', 'Initial Entertainment Group', 'Vertigo Entertainment', 'Media Asia Films']","['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",Charlie Chaplin,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
The Intouchables,Olivier Nakache Éric Toledano,Nicolas Duval Adassovsky Yann Zenou Laurent Zeitoun,William Monahan,Infernal Affairs by Alan Mak Felix Chong,François Cluzet Omar Sy,Ludovico Einaudi,Mathieu Vadepied,Reynald Bertrand,Liberty Films,Gaumont,"['23 September 2011 ( 2011-09-23 ) (San Sebastian)', '2 November 2011 ( 2011-11-02 ) (France)']",112 minutes,France,French,€ 9.5 million ($10.8 million),€360 million ($426.6 million),Gaumont TF1 Films Production Quad Productions Chaocorp Ten Films,"['English', 'German']","['United States [2]', 'Germany [2]']","['Brenda Chapman', 'Barry Johnson', 'Andy Gaskill', 'Kevin Harkey', 'Tom Sito', 'Rick Maki', 'Burny Mattinson', 'Lorna Cook', 'Gary Trousdale', 'Jorgen Klubien', 'Larry Leker', 'Ed Gombert', 'Mark Kausler', 'Thom Enriquez', 'Jim Capobianco', 'Chris Sanders', 'Joe Ranft', 'Francis Glebas']",Olivier Nakache Éric Toledano,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
Once Upon a Time in the West,Sergio Leone,Fulvio Morsella,"['Sergio Donati', 'Sergio Leone']",Infernal Affairs by Alan Mak Felix Chong,"['Claudia Cardinale', 'Henry Fonda', 'Jason Robards', 'Charles Bronson', 'Gabriele Ferzetti', 'Woody Strode', 'Jack Elam', 'Lionel Stander', 'Paolo Stoppa', 'Frank Wolff', 'Keenan Wynn']",Ennio Morricone,Tonino Delli Colli,Nino Baragli,Liberty Films,"['Euro International Film (Italy)', 'Paramount Pictures (United States)']","['20 December 1968 ( 1968-12-20 ) (Rome)', '21 December 1968 ( 1968-12-21 ) (Italy)', '28 May 1969 ( 1969-05-28 ) (New York [1] )']",166 minutes,France,French,$5 million,"$5,321,508 (US)  14,873,804 admissions (France)  13,000,000 admissions (Germany)","['Euro International Film [1] [2]', 'Paramount Pictures [2] [3]', 'Rafran Cinematografica [1] [2] [3]', 'Finanzia San Marco [2] [3]']",Italian English,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['Dario Argento', 'Bernardo Bertolucci', 'Sergio Leone']",Olivier Nakache Éric Toledano,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
Cinema Paradiso,Giuseppe Tornatore,"['Franco Cristaldi', 'Giovanna Romagnoli']","['Sergio Donati', 'Sergio Leone']",Infernal Affairs by Alan Mak Felix Chong,"['Philippe Noiret', 'Jacques Perrin', 'Antonella Attili', 'Pupella Maggio', 'Salvatore Cascio']","['Ennio Morricone', 'Andrea Morricone']",Blasco Giurato,Mario Morra,Les Films Ariane,Miramax Films (US) Umbrella Entertainment,['17 November 1988 ( 1988-11-17 )'],155 minutes 173 minutes (director's cut) 124 minutes (international cut),Italy,French,US$5 million,"$12,397,210 (US only)","['Euro International Film [1] [2]', 'Paramount Pictures [2] [3]', 'Rafran Cinematografica [1] [2] [3]', 'Finanzia San Marco [2] [3]']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['Dario Argento', 'Bernardo Bertolucci', 'Sergio Leone']",Giuseppe Tornatore,George Lucas,Star Wars (1977),Lucasfilm Ltd.,,,,,
The Great Dictator,Charlie Chaplin,Charlie Chaplin,John Michael Hayes,"""It Had to Be Murder"" by Cornell Woolrich",Charlie Chaplin Paulette Goddard Jack Oakie Henry Daniell Reginald Gardiner Billy Gilbert Maurice Moscovich,Charlie Chaplin Meredith Willson,Karl Struss Roland Totheroh,Willard Nico Harold Rice,Charles Chaplin Film Corporation,United Artists,"['October 15, 1940 ( 1940-10-15 ) (New York City)', 'October 31, 1940 ( 1940-10-31 ) (United States)']",124 minutes,United States,English,"$2 million (US$36,760,766 in 2019 dollars  )",$3.5 million (US rentals),"['Euro International Film [1] [2]', 'Paramount Pictures [2] [3]', 'Rafran Cinematografica [1] [2] [3]', 'Finanzia San Marco [2] [3]']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['Dario Argento', 'Bernardo Bertolucci', 'Sergio Leone']",Charlie Chaplin,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
Raiders of the Lost Ark,Steven Spielberg,Frank Marshall,Lawrence Kasdan,"""It Had to Be Murder"" by Cornell Woolrich","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey', 'John Rhys-Davies', 'Denholm Elliott']",John Williams,Douglas Slocombe,Michael Kahn,Lucasfilm Ltd.,Paramount Pictures,"['June 12, 1981 ( 1981-06-12 )']",115 minutes,United States,English,$20 million,$389.9 million,"['Euro International Film [1] [2]', 'Paramount Pictures [2] [3]', 'Rafran Cinematografica [1] [2] [3]', 'Finanzia San Marco [2] [3]']",Italian English Portuguese Sicilian,"['Italy [1] [2] [4]', 'United States [1] [2] [4]']","['George Lucas', 'Philip Kaufman']",Charlie Chaplin,George Lucas,Star Wars (1977),Lucasfilm Ltd.,Michael Herr,,,,
